tnstart_absolute,tnend_absolute,pmean,pmean_rescale,imean,transcript,Id
11:32:12,11:32:19,150.989,-0.12055552942268,70.166,(Deleted due to privacy),speaker_A
11:32:33,11:32:33,250.458,1.6927978335588800,75.41,(Deleted due to privacy),speaker_A
11:32:42,11:32:46,158.533,0.016974130776305,66.40900000000000,(Deleted due to privacy),speaker_A
11:32:46,11:32:57,170.08900000000000,0.227643901887052,71.005,(Deleted due to privacy),speaker_A
11:32:58,11:33:01,173.628,0.2921610635313,74.55,(Deleted due to privacy),speaker_A
11:33:02,11:33:04,154.715,-0.0526292948122055,74.29,(Deleted due to privacy),speaker_A
11:33:05,11:33:05,140.453,-0.312630357081284,72.291,(Deleted due to privacy),speaker_A
11:33:06,11:33:11,201.21100000000000,0.7950084412180200,71.658,(Deleted due to privacy),speaker_A
11:33:20,11:33:24,197.864,0.7339915042235860,74.829,(Deleted due to privacy),speaker_A
11:33:24,11:33:34,164.896,0.132973763311584,72.937,(Deleted due to privacy),speaker_A
11:33:34,11:33:35,109.73200000000000,-0.8726845313884190,61.969000000000000,(Deleted due to privacy),speaker_A
11:33:37,11:33:41,175.40100000000000,0.324483450531937,75.446,(Deleted due to privacy),speaker_A
11:33:41,11:33:43,184.61900000000000,0.492530694396497,74.263,(Deleted due to privacy),speaker_A
11:33:46,11:33:46,185.766,0.513440890611799,76.727,(Deleted due to privacy),speaker_A
11:33:48,11:33:48,150.02100000000000,-0.138202495365498,78.542,(Deleted due to privacy),speaker_A
11:33:59,11:34:00,205.206,0.867838636405578,76.291,(Deleted due to privacy),speaker_A
11:34:06,11:34:13,206.485,0.8911552370676280,73.76,(Deleted due to privacy),speaker_A
11:34:13,11:34:21,183.637,0.47462850373963,70.458,(Deleted due to privacy),speaker_A
11:34:21,11:34:21,177.112,0.35567555665607,75.562,(Deleted due to privacy),speaker_A
11:34:22,11:34:26,168.78600000000000,0.203889773143775,72.183,(Deleted due to privacy),speaker_A
11:34:27,11:34:31,162.524,0.0897314046169932,71.25400000000000,(Deleted due to privacy),speaker_A
11:34:38,11:34:38,122.322,-0.64316459211148,67.42700000000000,(Deleted due to privacy),speaker_A
11:34:50,11:34:58,152.374,-0.0953065130685451,73.438,(Deleted due to privacy),speaker_A
11:34:59,11:35:05,166.47800000000000,0.161814155999123,70.339,(Deleted due to privacy),speaker_A
11:35:09,11:35:13,170.922,0.24282977237296800,73.206,(Deleted due to privacy),speaker_A
11:35:51,11:35:52,132.045,-0.465911028204437,72.332,(Deleted due to privacy),speaker_A
11:36:07,11:36:09,168.192,0.19306095313341000,71.961,(Deleted due to privacy),speaker_A
11:36:24,11:36:25,119.979,-0.685878271041255,61.667,(Deleted due to privacy),speaker_A
11:36:27,11:36:35,139.03,-0.33857212623069500,63.849,(Deleted due to privacy),speaker_A
11:36:36,11:36:37,134.214,-0.426369427863557,69.623,(Deleted due to privacy),speaker_A
11:36:38,11:36:42,118.889,-0.7057493380636430,67.372,(Deleted due to privacy),speaker_A
11:36:42,11:36:46,145.305,-0.224176763326581,71.875,(Deleted due to privacy),speaker_A
11:36:50,11:36:55,177.903,0.370095752999839,70.184,(Deleted due to privacy),speaker_A
11:36:56,11:37:05,158.55,0.0172840465005078,69.189,(Deleted due to privacy),speaker_A
11:37:06,11:37:09,179.263,0.39488901093603,72.568,(Deleted due to privacy),speaker_A
